"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"125","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: $5,000 to $9,999",14560
"126","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 1-3 Rooms",31212,"Income: $10,000 & Over",12137
"127","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: No Working Person",8467
"128","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: Below $1,000",3136
"129","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: $1,000 to $2,999",11604
"130","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: $3,000 to $4,999",9801
"131","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: $5,000 to $9,999",14560
"132","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: HDB 4-5 Rooms",20264,"Income: $10,000 & Over",12137
"133","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: No Working Person",8467
"134","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: Below $1,000",3136
"135","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: $1,000 to $2,999",11604
"136","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: $3,000 to $4,999",9801
"137","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: $5,000 to $9,999",14560
"138","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Condominiums and Other Apartments",3661,"Income: $10,000 & Over",12137
"139","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: No Working Person",8467
"140","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: Below $1,000",3136
"141","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: $1,000 to $2,999",11604
"142","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: $3,000 to $4,999",9801
"143","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: $5,000 to $9,999",14560
"144","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Landed Properties",4177,"Income: $10,000 & Over",12137
"145","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: No Working Person",8467
"146","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: Below $1,000",3136
"147","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: $1,000 to $2,999",11604
"148","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: $3,000 to $4,999",9801
"149","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: $5,000 to $9,999",14560
"150","Ang Mo Kio",32485,"1/1/2010","Education: Primary to Secondary",51602,"Housing: Others",391,"Income: $10,000 & Over",12137
"151","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: No Working Person",8467
"152","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: Below $1,000",3136
"153","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: $1,000 to $2,999",11604
"154","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: $3,000 to $4,999",9801
"155","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: $5,000 to $9,999",14560
"156","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 1-3 Rooms",31212,"Income: $10,000 & Over",12137
"157","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: No Working Person",8467
"158","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: Below $1,000",3136
"159","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: $1,000 to $2,999",11604
"160","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: $3,000 to $4,999",9801
"161","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: $5,000 to $9,999",14560
"162","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: HDB 4-5 Rooms",20264,"Income: $10,000 & Over",12137
"163","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: No Working Person",8467
"164","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: Below $1,000",3136
