"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"208","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: $3,000 to $4,999",13958
"209","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: $5,000 to $9,999",22726
"210","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: $10,000 & Over",25281
"211","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: No Working Person",11143
"212","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: Below $1,000",3782
"213","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: $1,000 to $2,999",14333
"214","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: $3,000 to $4,999",13958
"215","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: $5,000 to $9,999",22726
"216","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 1-3 Rooms",28025,"Income: $10,000 & Over",25281
"217","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: No Working Person",11143
"218","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: Below $1,000",3782
"219","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: $1,000 to $2,999",14333
"220","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: $3,000 to $4,999",13958
"221","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: $5,000 to $9,999",22726
"222","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: HDB 4-5 Rooms",35676,"Income: $10,000 & Over",25281
"223","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: No Working Person",11143
"224","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: Below $1,000",3782
"225","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: $1,000 to $2,999",14333
"226","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: $3,000 to $4,999",13958
"227","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: $5,000 to $9,999",22726
"228","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Condominiums and Other Apartments",15148,"Income: $10,000 & Over",25281
"229","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: No Working Person",11143
"230","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: Below $1,000",3782
"231","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: $1,000 to $2,999",14333
"232","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: $3,000 to $4,999",13958
"233","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: $5,000 to $9,999",22726
"234","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Landed Properties",11765,"Income: $10,000 & Over",25281
"235","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: No Working Person",11143
"236","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: Below $1,000",3782
"237","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: $1,000 to $2,999",14333
"238","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: $3,000 to $4,999",13958
"239","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: $5,000 to $9,999",22726
"240","Bedok",54610,"1/1/2010","Education: Primary to Secondary",79104,"Housing: Others",611,"Income: $10,000 & Over",25281
"241","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: No Working Person",11143
"242","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: Below $1,000",3782
"243","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: $1,000 to $2,999",14333
"244","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: $3,000 to $4,999",13958
"245","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: $5,000 to $9,999",22726
"246","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 1-3 Rooms",28025,"Income: $10,000 & Over",25281
"247","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: No Working Person",11143
"248","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: Below $1,000",3782
"249","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: $1,000 to $2,999",14333
"250","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: $3,000 to $4,999",13958
"251","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: $5,000 to $9,999",22726
"252","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: HDB 4-5 Rooms",35676,"Income: $10,000 & Over",25281
"253","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: No Working Person",11143
"254","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: Below $1,000",3782
"255","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: $1,000 to $2,999",14333
"256","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: $3,000 to $4,999",13958
"257","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: $5,000 to $9,999",22726
"258","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Condominiums and Other Apartments",15148,"Income: $10,000 & Over",25281
"259","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: No Working Person",11143
"260","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: Below $1,000",3782
"261","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: $1,000 to $2,999",14333
"262","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: $3,000 to $4,999",13958
"263","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: $5,000 to $9,999",22726
"264","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Landed Properties",11765,"Income: $10,000 & Over",25281
"265","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: No Working Person",11143
"266","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: Below $1,000",3782
"267","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: $1,000 to $2,999",14333
"268","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: $3,000 to $4,999",13958
"269","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: $5,000 to $9,999",22726
"270","Bedok",54610,"1/1/2010","Education: University",54675,"Housing: Others",611,"Income: $10,000 & Over",25281
"271","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: No Working Person",2855
"272","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: Below $1,000",595
"273","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: $1,000 to $2,999",2556
"274","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: $3,000 to $4,999",3333
"275","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: $5,000 to $9,999",7853
"276","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 1-3 Rooms",2815,"Income: $10,000 & Over",10264
"277","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: No Working Person",2855
"278","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: Below $1,000",595
"279","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: $1,000 to $2,999",2556
"280","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: $3,000 to $4,999",3333
"281","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: $5,000 to $9,999",7853
"282","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: HDB 4-5 Rooms",17430,"Income: $10,000 & Over",10264
"283","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: No Working Person",2855
"284","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: Below $1,000",595
"285","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: $1,000 to $2,999",2556
"286","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: $3,000 to $4,999",3333
"287","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: $5,000 to $9,999",7853
"288","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Condominiums and Other Apartments",3570,"Income: $10,000 & Over",10264
"289","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: No Working Person",2855
"290","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: Below $1,000",595
"291","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: $1,000 to $2,999",2556
"292","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: $3,000 to $4,999",3333
"293","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: $5,000 to $9,999",7853
"294","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Landed Properties",3162,"Income: $10,000 & Over",10264
"295","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: No Working Person",2855
"296","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: Below $1,000",595
"297","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: $1,000 to $2,999",2556
"298","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: $3,000 to $4,999",3333
"299","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: $5,000 to $9,999",7853
"300","Bishan",17422,"1/1/2010","Education: No Qualification",7486,"Housing: Others",53,"Income: $10,000 & Over",10264
"301","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: No Working Person",2855
"302","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: Below $1,000",595
"303","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: $1,000 to $2,999",2556
"304","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: $3,000 to $4,999",3333
"305","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: $5,000 to $9,999",7853
"306","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 1-3 Rooms",2815,"Income: $10,000 & Over",10264
"307","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: No Working Person",2855
"308","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: Below $1,000",595
"309","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: $1,000 to $2,999",2556
"310","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: $3,000 to $4,999",3333
"311","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: $5,000 to $9,999",7853
"312","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: HDB 4-5 Rooms",17430,"Income: $10,000 & Over",10264
"313","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: No Working Person",2855
"314","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: Below $1,000",595
"315","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: $1,000 to $2,999",2556
"316","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: $3,000 to $4,999",3333
"317","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: $5,000 to $9,999",7853
"318","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Condominiums and Other Apartments",3570,"Income: $10,000 & Over",10264
"319","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: No Working Person",2855
"320","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: Below $1,000",595
"321","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: $1,000 to $2,999",2556
"322","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: $3,000 to $4,999",3333
"323","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: $5,000 to $9,999",7853
"324","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Landed Properties",3162,"Income: $10,000 & Over",10264
"325","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: No Working Person",2855
"326","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: Below $1,000",595
"327","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: $1,000 to $2,999",2556
"328","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: $3,000 to $4,999",3333
"329","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: $5,000 to $9,999",7853
"330","Bishan",17422,"1/1/2010","Education: Primary to Secondary",21358,"Housing: Others",53,"Income: $10,000 & Over",10264
"331","Bishan",17422,"1/1/2010","Education: University",22035,"Housing: HDB 1-3 Rooms",2815,"Income: No Working Person",2855
"332","Bishan",17422,"1/1/2010","Education: University",22035,"Housing: HDB 1-3 Rooms",2815,"Income: Below $1,000",595
"333","Bishan",17422,"1/1/2010","Education: University",22035,"Housing: HDB 1-3 Rooms",2815,"Income: $1,000 to $2,999",2556
"334","Bishan",17422,"1/1/2010","Education: University",22035,"Housing: HDB 1-3 Rooms",2815,"Income: $3,000 to $4,999",3333
